CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, female (%) (national estimate)	14	4.73	7.98	-14.60	14.14	0.19	2.36	7.58	0.00	0.00	6.41	4.63	3.62	2.98	2.53	2.19	-7.61	-14.60	14.14	2.05	-3.60	-11.97	-2.11	4.01
Algeria	Employment to population ratio, 15+, female (%) (national estimate)	15	0.62	0.00	0.16	1.97	0.62	0.23	0.72	0.25	0.24	0.23	0.21	0.20	0.19	0.18	0.18	0.17	0.16	0.26	1.97	1.82	1.70	1.59
Argentina	Employment to population ratio, 15+, female (%) (national estimate)	10	2.42	3.35	-7.22	4.79	0.11	0.43	3.67	0.00	0.00	0.00	0.00	0.00	-7.22	1.50	4.79	4.37	0.08	-3.03	0.78	-0.84	3.01	-2.31
Armenia	Employment to population ratio, 15+, female (%) (national estimate)	14	3.95	4.03	-6.10	18.47	1.67	1.11	5.93	0.00	0.00	1.20	1.14	1.08	1.02	0.97	-5.44	-6.10	5.46	4.69	4.11	18.47	1.35	-2.95	-1.62
Aruba	Employment to population ratio, 15+, female (%) (national estimate)	12	0.36	1.44	-1.50	0.47	-0.09	0.33	0.82	0.47	0.44	0.41	0.38	0.36	0.34	0.32	0.31	-1.38	-1.44	-1.50	0.17
Australia	Employment to population ratio, 15+, female (%) (national estimate)	16	1.13	0.42	-0.69	2.66	0.64	0.62	0.98	2.28	0.59	0.66	1.41	0.06	2.66	1.28	1.10	1.05	-0.54	-0.20	0.50	-0.22	-0.49	-0.69	0.84
Austria	Employment to population ratio, 15+, female (%) (national estimate)	16	1.17	1.09	-3.15	2.61	0.67	0.61	1.34	-0.04	0.38	2.18	0.50	-3.15	2.61	1.61	1.98	1.96	0.53	0.68	0.70	0.69	0.00	-0.08	0.17
Azerbaijan	Employment to population ratio, 15+, female (%) (national estimate)	14	4.69	0.36	-1.02	33.12	2.53	0.13	8.83	0.00	-0.32	-0.32	-0.16	0.59	0.12	33.12	1.98	-1.02	0.38	-0.05	-0.28	0.14	0.35	0.87
Bahamas, The	Employment to population ratio, 15+, female (%) (national estimate)	10	0.00	0.14	-0.15	-0.13	-0.14	-0.14	0.01	-0.13	-0.13	-0.14	-0.14	-0.14	-0.14	-0.14	-0.15	-0.15	-0.15
Bahrain	Employment to population ratio, 15+, female (%) (national estimate)	12	1.65	3.02	-3.02	3.60	1.26	1.30	1.59	0.81	0.75	3.60	2.72	2.18	1.83	1.57	1.37	1.22	1.10	1.00	-3.02
Bangladesh	Employment to population ratio, 15+, female (%) (national estimate)	14	27.75	13.30	-39.24	221.29	13.09	2.69	61.13	1.81	-18.02	-39.24	221.29	4.66	4.26	5.03	4.02	3.35	2.87	2.51	-2.81	-3.07	-3.38
Barbados	Employment to population ratio, 15+, female (%) (national estimate)	16	2.45	1.64	-3.87	5.24	0.25	-0.01	2.46	2.58	2.45	-1.94	1.36	2.90	0.00	-1.49	-0.05	-0.02	-1.11	-1.04	0.32	-3.60	2.29	-3.87	5.24
Belarus	Employment to population ratio, 15+, female (%) (national estimate)	6	16.70	1.22	-1.27	65.87	10.73	0.23	27.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	65.87	-1.27	0.35	0.12	-1.17	0.47
Belgium	Employment to population ratio, 15+, female (%) (national estimate)	16	1.29	1.09	-2.67	3.30	0.85	0.69	1.44	3.30	-2.67	0.72	0.66	2.71	1.90	0.51	2.50	1.76	-0.48	1.18	0.02	-0.11	0.60	0.89	0.05
Belize	Employment to population ratio, 15+, female (%) (national estimate)	16	1.84	0.00	0.43	9.53	1.84	0.78	2.75	1.06	0.93	0.82	0.74	0.67	0.61	0.56	0.52	0.49	0.45	0.43	9.53	8.00	1.60	1.52	1.46
Bermuda	Employment to population ratio, 15+, female (%) (national estimate)	10	0.00	0.24	-0.48	-0.20	-0.24	-0.21	0.09	0.00	-0.20	-0.20	-0.20	-0.21	-0.21	-0.21	-0.22	-0.22	-0.23	-0.48
Bhutan	Employment to population ratio, 15+, female (%) (national estimate)	10	5.12	4.73	-11.80	8.99	1.18	2.77	6.05	0.00	0.00	0.00	0.00	0.00	0.00	8.99	6.61	5.23	4.33	-1.81	-2.33	3.15	-2.98	-11.80	2.38
Bolivia	Employment to population ratio, 15+, female (%) (national estimate)	15	12.80	9.24	-50.21	28.81	-0.42	-2.36	17.27	10.40	-2.70	-3.33	-4.35	-6.25	-11.12	-50.21	19.97	7.34	6.40	-0.32	28.81	-2.36	-2.48	3.86
Bosnia and Herzegovina	Employment to population ratio, 15+, female (%) (national estimate)	6	2.17	3.41	-10.82	2.17	-2.48	-1.65	4.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.86	-1.07	-1.83	2.17	-1.47	-10.82
Botswana	Employment to population ratio, 15+, female (%) (national estimate)	14	20.62	0.00	1.28	212.64	20.62	4.80	55.55	5.45	3.53	2.61	2.07	1.71	1.46	1.28	212.64	22.37	11.81	8.02	6.07	5.14	4.45
Brazil	Employment to population ratio, 15+, female (%) (national estimate)	14	1.45	4.22	-8.84	3.13	0.24	1.16	3.00	0.00	0.00	3.13	-8.84	1.95	1.21	1.10	1.37	2.12	0.05	2.42	1.00	1.48	0.15	-1.41	-2.40
Brunei Darussalam	Employment to population ratio, 15+, female (%) (national estimate)	15	0.25	0.00	0.15	0.78	0.25	0.17	0.21	0.78	0.73	0.19	0.19	0.18	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.15	0.15	0.15
Bulgaria	Employment to population ratio, 15+, female (%) (national estimate)	15	2.24	1.83	-2.68	5.02	1.15	0.98	2.40	0.00	0.21	0.98	2.16	3.32	-0.32	5.02	4.69	3.48	-2.57	-2.68	-1.74	0.49	0.40	1.75	2.09
Cambodia	Employment to population ratio, 15+, female (%) (national estimate)	15	4.13	1.75	-3.01	6.23	0.60	-1.21	3.17	-1.21	-1.31	-1.42	-1.55	-1.71	3.94	3.40	3.00	2.68	6.23	5.54	-2.55	-2.76	-3.01	-0.26
Canada	Employment to population ratio, 15+, female (%) (national estimate)	16	0.84	0.56	-1.64	1.63	0.31	0.23	0.92	1.46	0.43	1.63	1.57	0.49	-0.12	0.76	1.50	0.07	-1.64	-0.26	-0.17	0.16	0.31	-0.77	-0.42
Caribbean small states	Employment to population ratio, 15+, female (%) (national estimate)	16	1.04	5.75	-6.10	7.45	0.19	0.53	2.89	0.86	0.79	0.72	0.67	0.62	0.58	0.55	0.52	0.49	0.46	-5.40	0.28	0.28	0.28	-6.10	7.45
Cayman Islands	Employment to population ratio, 15+, female (%) (national estimate)	16	0.91	1.63	-2.35	4.57	0.11	0.28	1.66	0.35	0.33	0.31	0.30	0.29	0.27	0.26	-1.72	2.15	-1.15	-2.35	-1.94	4.57	-1.00	0.91	0.25
Central Europe and the Baltics	Employment to population ratio, 15+, female (%) (national estimate)	16	1.52	1.50	-4.41	2.40	-0.18	-0.36	1.97	-4.41	-1.11	-3.70	-0.70	-0.47	-0.27	2.36	2.40	1.54	-1.12	-1.25	-0.44	0.82	0.10	1.99	1.43
Chile	Employment to population ratio, 15+, female (%) (national estimate)	16	3.32	1.20	-2.69	12.07	2.19	1.54	3.43	-2.69	0.22	-0.66	3.28	4.61	-0.67	5.20	-0.78	3.49	3.43	12.07	3.05	0.66	2.17	0.71	0.90
Colombia	Employment to population ratio, 15+, female (%) (national estimate)	15	5.76	3.59	-5.93	13.74	1.40	0.81	6.05	0.00	-3.42	-3.82	-4.31	-2.84	-0.40	-5.93	1.62	11.85	13.74	3.80	-4.40	3.39	0.81	8.35	2.51
Costa Rica	Employment to population ratio, 15+, female (%) (national estimate)	16	4.56	2.71	-5.75	9.14	0.92	0.11	4.51	-3.27	9.14	-0.84	0.96	-4.35	7.78	0.82	4.31	2.31	-3.69	-5.75	4.11	-1.00	-0.59	7.06	-2.20
Croatia	Employment to population ratio, 15+, female (%) (national estimate)	16	3.53	3.22	-9.99	8.14	1.00	2.02	4.34	8.14	-4.13	4.36	-0.71	2.38	-0.70	1.80	7.06	2.45	1.71	-2.97	-9.99	2.75	-0.80	2.24	2.42
Cuba	Employment to population ratio, 15+, female (%) (national estimate)	9	4.28	0.00	0.00	9.25	3.80	4.14	3.01	0.00	0.00	0.00	0.00	0.00	1.77	1.71	4.14	0.92	9.25	6.75	5.31	4.38	0.00
Cyprus	Employment to population ratio, 15+, female (%) (national estimate)	16	2.61	2.15	-4.56	7.20	0.53	0.33	3.08	-0.02	7.20	2.95	2.27	-1.56	-1.46	3.17	3.54	0.43	0.22	0.99	-1.96	-4.56	-4.40	2.75	-1.13
Czech Republic	Employment to population ratio, 15+, female (%) (national estimate)	16	0.83	1.20	-1.83	2.21	0.20	0.37	1.12	-1.22	0.24	0.45	-0.99	-0.78	0.18	0.83	0.74	0.28	-1.83	-1.20	0.93	0.81	1.65	0.86	2.21
Denmark	Employment to population ratio, 15+, female (%) (national estimate)	16	1.17	1.12	-2.56	1.70	-0.26	-0.26	1.39	1.29	-0.72	1.46	-2.34	1.44	0.18	1.70	-0.09	0.95	-2.15	-2.56	-1.38	-1.03	-0.49	-0.44	-0.02
Djibouti	Employment to population ratio, 15+, female (%) (national estimate)	3	0.00	1.57	-1.73	-1.43	-1.57	-1.56	0.15	-1.43	-1.56	-1.73
Dominica	Employment to population ratio, 15+, female (%) (national estimate)	2	0.00	3.69	-3.82	-3.55	-3.69	-3.69	0.19	-3.55	-3.82
Dominican Republic	Employment to population ratio, 15+, female (%) (national estimate)	16	3.13	2.45	-4.54	7.54	1.73	1.56	3.21	0.22	-4.54	4.18	-3.37	1.44	1.42	5.44	-0.52	4.47	4.84	7.54	3.06	1.43	-1.36	1.69	1.78
Early-demographic dividend	Employment to population ratio, 15+, female (%) (national estimate)	9	0.00	2.30	-4.96	-0.41	-2.30	-2.49	1.62	0.00	0.00	0.00	0.00	0.00	0.00	-2.49	-2.84	-3.31	-3.97	-4.96	-1.12	-1.15	-0.41	-0.41
Ecuador	Employment to population ratio, 15+, female (%) (national estimate)	16	4.99	6.08	-16.79	31.66	1.53	0.65	9.74	3.98	3.56	-8.45	0.32	2.97	2.80	0.79	-16.79	-0.72	31.66	-4.37	0.51	0.07	-0.09	5.90	2.30
Egypt, Arab Rep.	Employment to population ratio, 15+, female (%) (national estimate)	15	15.72	7.62	-37.86	52.07	4.83	1.64	19.15	0.00	-2.02	-6.08	9.09	2.20	25.07	16.70	16.73	-37.86	52.07	1.64	-3.40	-2.02	2.24	-0.98	-1.00
El Salvador	Employment to population ratio, 15+, female (%) (national estimate)	14	5.98	1.84	-6.15	18.25	2.07	-0.20	5.98	-1.42	-1.49	-1.56	2.98	-6.15	8.57	7.32	-0.70	18.25	-0.70	-0.86	0.29	1.85	2.58
Estonia	Employment to population ratio, 15+, female (%) (national estimate)	16	2.25	2.35	-5.51	4.01	0.81	0.81	2.75	0.34	-2.49	3.02	0.51	3.45	2.69	3.61	0.60	-0.19	-5.51	-3.55	4.01	2.32	1.01	-0.02	3.20
Ethiopia	Employment to population ratio, 15+, female (%) (national estimate)	14	28.22	31.97	-170.14	83.35	-6.17	-6.34	55.47	-6.42	-9.44	-17.90	-170.14	22.66	83.35	-27.83	-6.27	-7.72	-10.05	4.13	2.40	5.38	51.43
Euro area	Employment to population ratio, 15+, female (%) (national estimate)	16	1.29	0.54	-0.97	2.19	0.84	0.98	1.02	2.19	1.80	1.28	1.43	0.39	1.95	1.91	1.92	1.14	-0.97	-0.44	0.28	-0.34	-0.40	0.41	0.81
Europe & Central Asia	Employment to population ratio, 15+, female (%) (national estimate)	16	1.12	0.76	-1.59	3.31	0.77	0.71	1.13	3.31	0.71	-1.59	-0.54	1.93	0.06	1.38	1.65	1.75	0.70	0.11	0.69	0.44	-0.14	1.09	0.73
Europe & Central Asia (IDA & IBRD)	Employment to population ratio, 15+, female (%) (national estimate)	15	1.77	2.02	-5.26	4.38	0.51	1.13	2.35	0.00	-0.38	-5.26	-2.56	4.38	-1.66	1.26	1.88	2.62	2.80	0.59	1.23	1.13	-0.25	1.36	0.49
Europe & Central Asia (excluding high income)	Employment to population ratio, 15+, female (%) (national estimate)	13	1.79	1.63	-2.74	4.69	1.00	1.07	1.94	0.00	0.00	0.00	-2.74	4.69	-1.90	1.07	1.56	2.56	3.04	1.00	1.50	1.21	-0.26	0.98	0.29
European Union	Employment to population ratio, 15+, female (%) (national estimate)	16	0.88	0.35	-0.96	1.72	0.57	0.73	0.74	0.75	1.05	0.11	0.71	0.24	1.27	1.72	1.68	1.10	-0.96	-0.31	0.10	-0.03	-0.09	0.90	0.94
Faroe Islands	Employment to population ratio, 15+, female (%) (national estimate)	8	5.05	4.06	-9.08	10.89	-0.64	-0.50	6.13	0.00	0.00	0.00	0.00	0.00	0.00	-0.45	-0.55	3.46	-5.06	-9.08	0.80	10.89	-5.16
Fiji	Employment to population ratio, 15+, female (%) (national estimate)	8	15.20	5.97	-27.31	17.46	-0.68	-1.55	13.25	-1.30	-1.45	-1.65	-1.89	-2.23	-27.31	17.46	12.94
Finland	Employment to population ratio, 15+, female (%) (national estimate)	16	0.86	1.14	-1.71	1.77	-0.02	0.27	1.15	0.84	1.77	0.98	-0.47	-1.52	0.37	1.12	1.51	0.56	-1.70	-1.71	0.17	0.39	-1.29	-0.56	-0.74
France	Employment to population ratio, 15+, female (%) (national estimate)	16	1.45	0.42	-1.18	3.32	0.63	0.24	1.22	2.30	1.49	1.21	3.32	-1.18	1.31	0.33	1.85	1.11	-0.80	-0.28	-0.30	0.15	-0.09	-0.30	-0.02
French Polynesia	Employment to population ratio, 15+, female (%) (national estimate)	10	0.00	1.46	-2.86	-0.80	-1.46	-1.26	0.67	0.00	0.00	0.00	-0.80	-0.87	-0.95	-1.05	-1.18	-1.33	-1.54	-1.82	-2.23	-2.86
Georgia	Employment to population ratio, 15+, female (%) (national estimate)	16	2.58	3.59	-6.65	5.57	0.27	1.77	3.41	5.57	-3.61	-4.21	2.13	-1.49	-2.67	-2.91	1.48	-6.65	2.29	3.37	2.09	2.06	0.67	2.61	3.52
Germany	Employment to population ratio, 15+, female (%) (national estimate)	16	1.45	0.74	-1.48	2.78	1.04	1.14	1.18	0.86	1.43	-0.33	-0.42	-1.48	2.45	2.53	2.38	1.46	1.15	1.12	2.78	0.47	1.31	0.64	0.33
Ghana	Employment to population ratio, 15+, female (%) (national estimate)	13	0.86	0.00	0.10	3.75	0.86	0.11	1.45	0.00	0.11	0.11	0.11	0.11	0.11	0.11	0.10	0.10	0.10	0.10	3.75	3.37	3.06
Greece	Employment to population ratio, 15+, female (%) (national estimate)	16	1.81	4.53	-8.09	3.34	-0.17	1.11	3.52	1.42	-0.63	2.04	2.68	1.43	0.71	2.72	0.79	1.76	0.48	-2.23	-6.83	-8.09	-4.88	2.53	3.34
Greenland	Employment to population ratio, 15+, female (%) (national estimate)	3	10.47	16.85	-16.85	11.55	1.36	9.39	15.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.55	9.39	-16.85
Guam	Employment to population ratio, 15+, female (%) (national estimate)	12	4.25	4.03	-14.76	5.79	-0.58	-0.81	5.83	-1.36	-1.62	-2.01	-0.81	-0.82	4.52	1.18	-14.76	5.13	4.65	5.79	-6.84
Guatemala	Employment to population ratio, 15+, female (%) (national estimate)	11	13.56	11.54	-34.65	25.42	-2.41	-3.16	16.16	0.00	0.00	0.00	0.00	0.00	6.41	5.69	-6.72	-9.19	-14.52	-34.65	25.42	16.74	-11.14	-1.40	-3.16
High income	Employment to population ratio, 15+, female (%) (national estimate)	16	0.54	0.76	-1.52	1.27	0.21	0.30	0.72	0.57	0.48	-0.22	0.22	0.30	0.87	1.27	-0.22	0.30	-1.52	0.77	-1.10	0.02	0.29	0.81	0.58
Honduras	Employment to population ratio, 15+, female (%) (national estimate)	16	6.18	23.82	-31.06	18.98	0.56	1.94	13.32	-19.16	-31.06	18.98	12.10	8.88	-21.23	12.22	8.00	6.45	5.41	2.60	1.28	1.21	1.14	1.08	1.02
Hong Kong SAR, China	Employment to population ratio, 15+, female (%) (national estimate)	16	1.50	1.19	-1.65	4.48	0.83	0.87	1.64	0.12	4.48	-0.39	-1.50	1.21	2.27	1.88	1.63	0.55	-1.22	-1.65	2.74	1.19	1.61	0.13	0.26
Hungary	Employment to population ratio, 15+, female (%) (national estimate)	16	1.56	0.89	-1.65	5.50	0.79	0.36	1.79	0.95	-0.36	0.43	2.04	-0.80	0.28	0.23	-0.80	-0.86	-1.65	1.16	0.08	2.71	0.87	5.50	2.90
Iceland	Employment to population ratio, 15+, female (%) (national estimate)	16	1.15	1.39	-3.95	2.08	0.04	0.17	1.59	2.08	-1.24	-0.69	-0.75	-1.22	0.63	0.28	0.81	-1.26	-3.95	-0.62	0.06	1.48	1.36	1.61	2.07
