CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, male (%) (national estimate)	14	2.18	6.22	-9.97	10.92	-0.82	0.67	5.45	0.00	0.00	0.78	0.74	0.71	0.68	0.65	0.63	-0.80	-9.97	10.92	-6.94	-3.43	-9.96	0.75	3.80
Algeria	Employment to population ratio, 15+, male (%) (national estimate)	15	0.15	1.35	-1.46	0.80	-0.25	0.09	0.71	0.10	0.10	0.09	0.09	0.09	0.09	0.09	0.08	0.08	0.08	0.80	-1.24	-1.31	-1.38	-1.46
Argentina	Employment to population ratio, 15+, male (%) (national estimate)	10	2.43	4.99	-8.72	6.05	0.20	0.88	4.34	0.00	0.00	0.00	0.00	0.00	-8.72	2.08	6.05	5.40	-2.52	1.08	0.42	0.67	1.30	-3.73
Armenia	Employment to population ratio, 15+, male (%) (national estimate)	14	9.52	4.04	-16.84	21.47	0.80	-0.57	9.51	0.00	0.00	-0.55	-0.56	-0.58	-0.60	-0.62	-12.60	-16.84	21.47	13.06	9.38	0.23	3.49	-1.12	-2.92
Aruba	Employment to population ratio, 15+, male (%) (national estimate)	12	0.51	4.74	-5.44	3.41	-0.80	0.14	2.57	0.16	0.16	0.15	0.15	0.14	0.14	0.14	0.14	-4.10	-4.68	-5.44	3.41
Australia	Employment to population ratio, 15+, male (%) (national estimate)	16	0.55	1.01	-2.24	1.24	-0.03	0.29	0.92	0.42	-0.87	0.37	0.34	0.59	1.24	0.44	1.03	0.24	-2.24	0.73	-0.07	-0.89	-1.07	-0.92	0.12
Austria	Employment to population ratio, 15+, male (%) (national estimate)	16	0.87	1.31	-5.22	2.33	-0.35	-0.35	1.68	-0.80	-0.53	-0.98	0.17	-5.22	2.33	1.04	1.73	0.48	-1.88	0.19	0.17	-0.38	-0.46	-1.22	-0.32
Azerbaijan	Employment to population ratio, 15+, male (%) (national estimate)	14	6.84	0.84	-3.64	34.97	2.45	-0.18	9.48	0.00	-0.58	-0.59	-0.27	0.70	-0.08	34.97	-3.64	-0.57	3.69	-0.46	-0.52	0.60	0.62	0.46
Bahamas, The	Employment to population ratio, 15+, male (%) (national estimate)	10	0.00	0.65	-0.90	-0.48	-0.65	-0.63	0.14	-0.48	-0.50	-0.53	-0.57	-0.60	-0.65	-0.70	-0.75	-0.82	-0.90
Bahrain	Employment to population ratio, 15+, male (%) (national estimate)	12	0.51	0.47	-1.07	0.61	0.26	0.47	0.50	-0.17	-0.17	0.61	0.58	0.55	0.52	0.50	0.48	0.46	0.44	0.42	-1.07
Bangladesh	Employment to population ratio, 15+, male (%) (national estimate)	14	0.37	0.90	-1.45	2.03	-0.35	-0.26	0.91	2.03	-0.26	-0.26	-0.26	0.09	0.09	-1.12	-1.19	-1.26	-1.35	-1.45	0.01	0.01	0.01
